core_CPI_annualised_percent_change,unemployment_rate,log_industrial_production,PPI_commodity,3M_Treasury_rate,10Y_Treasury_rate
0.128609671,0.122658895,-0.002697174,-0.216776674,-0.076285146,-0.07876531
-0.027474085,0.122228378,-0.003999619,-0.256345266,-0.14183585,-0.200502623
-0.165554691,0.139360515,-0.004644837,-0.400656714,-0.141596568,-0.249569251
-0.310899337,0.15467969,-0.005715515,-0.468803209,-0.119586258,-0.262868628
-0.24757919,0.172156967,-0.006063073,-0.570637756,-0.120041952,-0.254364157
-0.147107018,0.192168676,-0.005801708,-0.622208932,-0.136581984,-0.261397684
-0.0402755,0.191859476,-0.006008892,-0.631515158,-0.136103107,-0.259907743
-0.014555113,0.197040518,-0.00588407,-0.619210696,-0.118468258,-0.231422328
-0.085029159,0.198941796,-0.005684712,-0.586792725,-0.108604698,-0.222252012
-0.123959995,0.198584022,-0.005384027,-0.543073861,-0.105309347,-0.236803095
-0.125863048,0.19680425,-0.005187917,-0.49306016,-0.109225029,-0.253203101
-0.12608618,0.193425486,-0.005010907,-0.424627966,-0.105632324,-0.252784509
-0.151365098,0.189352878,-0.004688879,-0.353910761,-0.099583798,-0.239490272
-0.139656196,0.1816664,-0.004298876,-0.293553359,-0.09569847,-0.22672851
-0.120148616,0.17298672,-0.003941132,-0.248294917,-0.094282287,-0.221905116
-0.097997768,0.16456675,-0.003616842,-0.199634895,-0.093159925,-0.213448717
-0.09209383,0.15557218,-0.003266615,-0.160244959,-0.090756154,-0.205119255
-0.104792493,0.145901933,-0.002938013,-0.118081115,-0.087877468,-0.196496276
-0.108741848,0.135776477,-0.00263761,-0.07998478,-0.085763113,-0.190441364
-0.099135694,0.126354174,-0.002357142,-0.047065646,-0.084975642,-0.183664208
-0.086650972,0.117717694,-0.002047437,-0.024253581,-0.083519684,-0.174107166
-0.07440285,0.108869962,-0.00173847,-4.79E-06,-0.080714056,-0.163733911
-0.063530205,0.100726135,-0.001498892,0.016799208,-0.076864009,-0.150810674
-0.053937727,0.092684446,-0.001251936,0.033726134,-0.073160747,-0.140521051
-0.043453586,0.084648065,-0.001057714,0.048027677,-0.070017671,-0.131326051
-0.036641882,0.078249521,-0.000865543,0.059601033,-0.067303025,-0.122682511
-0.031185202,0.070988736,-0.000712744,0.068077732,-0.064456316,-0.114908758
-0.026129167,0.065594705,-0.000581061,0.072408858,-0.06121488,-0.106843482
-0.019159823,0.060453139,-0.000457032,0.073601581,-0.059093181,-0.098420045
-0.011298247,0.055193027,-0.000346524,0.075510985,-0.055800535,-0.089872142
-0.004240997,0.050925776,-0.000265413,0.075587009,-0.051978104,-0.08239208
0.000584617,0.047706437,-0.000167329,0.074863582,-0.049212988,-0.07377093
0.004831064,0.043841654,-6.84E-05,0.073072435,-0.046093107,-0.067092887
0.008548375,0.04075345,1.40E-05,0.07178329,-0.043350711,-0.060152973
0.012238405,0.037649083,6.94E-05,0.07064626,-0.041676676,-0.055966117
0.015869076,0.035549914,0.000107705,0.069081651,-0.038751907,-0.051181454
0.018097783,0.033150082,0.000141366,0.067453545,-0.035945127,-0.045378735
0.021181873,0.03056103,0.000149872,0.066007702,-0.033314834,-0.040511229
0.021791369,0.029384291,0.000194188,0.062155051,-0.030918921,-0.035287975
0.023451704,0.027858253,0.000227369,0.062046805,-0.028810588,-0.031530724
