,MBC_Shock
0,0.8669418123019358
1,-0.14283992152035563
2,-0.29672288463991603
3,0.41049004390103616
4,0.47687987116941977
5,0.7627320006956867
6,-1.1056004584509553
7,-2.0928210978745625
8,-0.07266375587236201
9,0.29234743077615194
10,-0.3554398457148053
11,0.4764631510461473
12,0.7647113893007229
13,-0.24924725190124836
14,-0.10767350508746226
15,0.7106215645057292
16,-0.3293093702169951
17,0.23482587351500356
18,-0.8139876322100414
19,-0.21439367182510677
20,0.48589608942826024
21,-0.8592526098624731
22,0.22711176764873142
23,-0.6843115143597134
24,-0.3295388348223136
25,0.5620154861235288
26,-0.9070742031162204
27,0.8957430164706832
28,-1.4104468416480305
29,1.1211936696999913
30,0.5797788710117191
31,-1.4449419389012514
32,0.014267709824350994
33,0.9587334430017932
34,-0.7654732368969281
35,-0.4744010129516937
36,1.0949283058546413
37,-0.2292863929075693
38,0.9717391068718458
39,-2.119446993996969
40,2.0171452813810378
41,-2.1756698582974425
42,-0.13869749233383782
43,-0.40071404391276266
44,-0.6549412625405182
45,1.3621532368333367
46,0.22523219276037165
47,-0.14527824032622
48,-0.0645674264258096
49,0.757746288101778
50,1.071780274832135
51,-2.8663873166449187
52,-0.4637638380455212
53,2.0067689329640745
54,1.3407498232730797
55,0.5804184311120135
56,0.8927541624947072
57,-0.30243474382783403
58,-0.7113848303905366
59,1.157954354360223
60,0.579696476870882
61,0.11611535569642373
62,-0.4415581933600135
63,1.0793258619502017
64,-0.2999043213960361
65,1.1586490891599857
66,-0.3474441967543074
67,-1.6317402986027176
68,-0.5637665763388962
69,0.9087270488983691
70,0.5545504747130937
71,-1.0208048505954261
72,2.2551185810340746
73,-0.4802280000276028
74,-0.3219007754513645
75,-1.1172165725622423
76,0.4087826243093111
77,-0.9899268010750742
78,1.635626632498235
79,-0.44980084712780205
80,0.7184475691094355
81,-0.5158021569939317
82,-1.6207560158176766
83,-0.9574772511566828
84,-0.4680079902470794
85,-0.2700374239818599
86,-0.8769273966388823
87,1.601692794553038
88,-0.3065625688033277
89,0.5085817889465142
90,-1.720505405300832
91,0.2062349965669773
92,0.21033128350926458
93,1.0143210306857429
94,0.3137397028167414
95,1.3174731365167138
96,1.454094683859917
97,1.3403534159683081
98,0.47186972552871015
99,-0.31302992612908637
100,0.9937085348761691
101,-1.8044889353914442
102,0.28907853811659734
103,-0.03319124212300617
104,-0.7252556339697912
105,0.251170955272365
106,1.6395110337333023
107,-1.4504056897664537
108,-0.3007761911234432
109,1.6420716577785675
110,-0.52790807870347
111,0.4790776762620675
112,0.5131506261661514
113,-0.41849326945502807
114,-0.7450931974751601
115,-0.6234497551024887
116,-1.7732067256728434
117,0.1583353218821184
118,-1.2944086773096823
119,-0.27178921265956635
120,-0.020544770858429817
121,-0.7964917811131949
122,0.1396265390751369
123,-0.8062250220474585
124,-1.2139791537608553
125,-0.08948593107019849
126,0.7271442217420915
127,-0.8331495815963381
128,-0.014642210913574483
129,-0.07058039521175741
130,0.3770965850445856
131,0.6580577015614637
132,0.9245863048160359
133,-0.9181847621916028
134,-0.8360420197611247
135,2.8288304239951705
136,0.1647765689375683
137,-1.2981288883610544
138,-0.7680390974929833
139,0.5897375162721152
140,-0.6165354658113995
141,-0.16310639115098968
142,-1.0747724618652525
143,1.8425907011125724
144,0.9943108849530484
145,0.2472131660459267
146,0.44607471151807343
147,-0.2586733761777593
148,-1.6665619424828302
149,-0.7481352076771478
150,1.287839176702528
151,1.2677870817536325
152,-0.37082449839835563
153,0.12988206028779503
154,1.190861718047853
155,-0.03179604065979422
156,0.6253729717135945
157,0.9802041021325238
158,-0.9220034717478812
159,0.6985997094476071
160,-1.3356205476634342
161,-0.6670473626610316
162,-1.8909117287082657
163,-0.16698767997997976
164,-2.1026097493779763
165,-0.40434234955928094
166,-0.9741756355792076
167,1.6600033229338713
168,2.365026335437493
169,-1.5223125493010197
170,-0.6159325003795844
171,-0.6169662844082924
172,0.49981840029974667
173,0.1035499652496667
174,0.9919637124479769
175,-0.9551939992569879
176,-0.13057592612996977
177,0.43333185744425246
178,1.063476260441125
179,0.5620643365511383
180,1.1932262670018536
181,0.639894205120424
182,-0.4442420533220196
183,1.6306211627517768
184,-0.4092226678288484
185,-1.0185779589846273
186,0.3377917739795493
187,-1.1366866014093797
188,-0.8512654896890094
189,-0.03045549105757872
190,1.8542808232517967
191,0.16253108601600436
192,1.1880002672275882
193,-0.2825816022473514
194,0.2728693635830587
195,0.7269496359188545
196,-1.3472724681973722
197,-0.9969805911206768
198,0.9692986410246747
199,-0.8868098485321224
